Station_ID,Total_Revenue
21655,4803.580017089844
24283,4074.8600158691406
20617,4039.1199340820312
26404,4011.880096435547
21964,4003.230010986328
24117,3989.580078125
11497,3945.9800415039062
29523,3825.6500244140625
29680,3783.1799926757812
17864,3714.730010986328
17107,3692.10009765625
29217,3643.719970703125
12738,3581.1499786376953
16312,3565.2100524902344
24587,3558.2600708007812
17187,3527.730026245117
12917,3522.8800048828125
20363,3508.3800048828125
24949,3497.300048828125
20262,3477.1100158691406
20091,3474.780029296875
12199,3467.8800048828125
24307,3466.4299926757812
24116,3465.719970703125
18348,3432.6400299072266
20142,3426.3799438476562
23772,3400.239990234375
26301,3396.5999755859375
13531,3376.8699951171875
29627,3366.8499145507812
29349,3362.2999267578125
11421,3359.1399536132812
24540,3350.410041809082
13092,3350.010009765625
13019,3336.2500915527344
12826,3326.469985961914
12212,3320.749969482422
29313,3319.8900756835938
25255,3318.8701171875
17176,3314.9700317382812
20806,3308.2799377441406
15108,3299.3800354003906
15343,3275.85001373291
25158,3272.249954223633
27576,3268.760009765625
10063,3261.1600341796875
12830,3259.300048828125
18013,3243.4199752807617
23106,3241.8900451660156
19236,3219.2000122070312
12093,3218.199981689453
16019,3216.77001953125
19951,3211.749984741211
10151,3195.7799682617188
12727,3193.3800048828125
29932,3174.7599487304688
27840,3173.369873046875
18452,3167.0199584960938
21827,3162.5399169921875
10628,3157.0100708007812
29945,3156.1299438476562
10143,3155.2200317382812
22992,3144.229965209961
21062,3141.4300231933594
19063,3141.1600036621094
21672,3126.830032348633
16029,3126.6699829101562
28014,3123.0100708007812
14848,3119.509979248047
10152,3103.4700927734375
26804,3095.8699951171875
16584,3095.0400390625
25032,3084.6500244140625
13740,3082.2300720214844
14003,3079.030059814453
22684,3075.0599975585938
18059,3072.8900146484375
19136,3068.7000427246094
26653,3064.219970703125
19215,3062.830032348633
29133,3062.3200073242188
26915,3062.0501098632812
18402,3057.02001953125
11243,3034.240020751953
24248,3033.1400146484375
29963,3029.8099975585938
23781,3029.019989013672
14679,3025.2699661254883
22290,3019.349983215332
26656,3002.820037841797
20250,2988.47998046875
12943,2974.9400329589844
24619,2973.9400634765625
29068,2970.989990234375
23110,2968.3900146484375
21721,2967.22998046875
12026,2956.7999267578125
28635,2953.6799926757812
20476,2952.699935913086
22943,2948.2900390625
26451,2940.480010986328
27191,2935.8700561523438
14575,2933.1499938964844
27035,2928.8201293945312
20643,2926.8999786376953
12946,2924.669967651367
19434,2920.2700271606445
14637,2919.93994140625
13182,2914.739990234375
22797,2906.2799682617188
15516,2904.3700256347656
13031,2900.800003051758
28100,2893.0800552368164
26248,2887.990020751953
26459,2887.2099609375
16591,2886.0800170898438
15633,2884.5699462890625
13446,2883.5099487304688
12292,2877.1200561523438
11345,2873.3700561523438
28906,2868.689971923828
19542,2867.6900024414062
19118,2866.9400024414062
25661,2866.6599731445312
